	select_part	class	metaboliteID	name	name_short	name_print	len	MPIMP_ID	isotopomer	analyte
32	yes	Organic Acids	M000100	Lactic acid (2TMS)	Lactic acid	Lactic acid	11	A105001	101	99470209-71EF-4FFB-95B8-E09125766973
39	yes	N-Compounds	M000413	Pyridine, 2-hydroxy- (1TMS)	Pyridine, 2-hydroxy-	Pyridine, 2-hydroxy-	20	A105003	101	F1A1BFCF-BE56-43F7-B0BF-B1A64A618C86
48	no	Organic Acids	M000517	Glycolic acid (2TMS)	Glycolic acid	Glycolic acid	13	A106002	101	1E854A72-598B-45D4-AB19-E3914F2AEE09
75	yes	MST	NA	A112003	A112003	A112003	7	A112003	101	6689E110-85D0-445C-8056-108724435D89
91	yes	MST	NA	A114002	A114002	A114002	7	A114002	101	0F3D1985-DBA7-4525-92F5-CEF822A2A08F
73	no	MST	NA	A116012	A116012	A116012	7	A116012	101	556EA0EF-8989-41AE-8023-7703DAC7160C
44	yes	Phosphates	M000507	Phosphoric acid monomethyl ester (2TMS)	Phosphoric acid monomethyl ester	Phosphoric acid "\n" monomethyl ester	35	A119001	101	4485ADB0-AF5F-4A51-BF60-702F4C975DE2
9	yes	Amino Acids	M000030	Valine (2TMS)	Valine	Valine	6	A122001	101	C3F371A7-0C27-4FE9-90D7-53F8E8BF963F
6	yes	Amino Acids	M000015	Serine (2TMS)	Serine	Serine	6	A128001	101	DCF0B901-619A-48CB-AF7C-3B05C682133D
31	yes	N-Compounds	M000096	Ethanolamine (3TMS)	Ethanolamine	Ethanolamine	12	A128002	101	3771176A-F95B-494A-8172-E57260AC372C
24	yes	Phosphates	M000075	Phosphoric acid (3TMS)	Phosphoric acid	Phosphoric acid	15	A129001	101	87DAEC85-6F71-4239-8D48-5590DA42CE45
10	yes	Amino Acids	M000031	Glycine (3TMS)	Glycine	Glycine	7	A133001	101	4CA0F2AD-18D5-4044-8350-504FFE609B2C
22	yes	Organic Acids	M000073	Glyceric acid (3TMS)	Glyceric acid	Glyceric acid	13	A135003	101	C926563F-1DD6-4EAF-B7FF-17CF3AB60D21
20	yes	Organic Acids	M000067	Fumaric acid (2TMS)	Fumaric acid	Fumaric acid	12	A137001	101	A6F751BB-BF57-4852-9368-825EFF3C501B
7	yes	Amino Acids	M000016	Threonine (3TMS)	Threonine	Threonine	9	A140001	101	E449A211-33FC-45F4-B4F4-03CDE1D4F4BF
56	yes	Polyhydroxy Acids	M000595	Threonic acid-1,4-lactone (2TMS)	Threonic acid-1,4-lactone	Threonic acid- "\n" 1,4-lactone	29	A140005	101	6BAB0D9B-7BA4-4E29-B05E-25893805AABC
98	yes	MST	NA	A142016	A142016	A142016	7	A142016	101	EEFAE11A-42AD-497E-B6C6-61E00D1278D1
76	yes	MST	NA	A143002	A143002	A143002	7	A143002	101	3DD5CD2F-352D-4ACF-ACCC-B5B6D7BAC5C9
77	yes	MST	NA	A143003	A143003	A143003	7	A143003	101	F6A88D9F-29CE-44C8-A1C8-4EE014FD4701
11	yes	Amino Acids	M000033	Aspartic acid (2TMS)	Aspartic acid	Aspartic acid	13	A144003	101	D1B14E56-23F7-435E-93B9-320012FA4E54
92	yes	MST	NA	A145015	A145015	A145015	7	A145015	101	E1C96184-EDCA-44C4-BB80-68492E5BF368
18	yes	Organic Acids	M000065	Malic acid (3TMS)	Malic acid	Malic acid	10	A149001	101	607DBF7C-9714-402B-B03A-2CC96DC5CE02
13	yes	Amino Acids	M000037	Pyroglutamic acid (2TMS)	Pyroglutamic acid	Pyroglutamic acid	17	A153002	101	4F0FA9B6-514F-4FF4-98CC-0009BC08EB80
35	yes	Amino Acids	M000114	Butanoic acid, 4-amino- (3TMS)	Butanoic acid, 4-amino-	Butanoic acid, "\n" 4-amino-	26	A153003	101	6777816A-975B-4B53-B039-3CB26D469C47
41	yes	Polyhydroxy Acids	M000454	Erythronic acid (4TMS)	Erythronic acid	Erythronic acid	15	A154001	101	D38A9ED2-81AD-43C6-AEB2-9ABC15999412
12	yes	Amino Acids	M000036	Glutamic acid (2TMS)	Glutamic acid	Glutamic acid	13	A154002	101	0929C255-892A-4196-B906-54A5D809FA72
25	yes	Polyhydroxy Acids	M000078	Threonic acid (4TMS)	Threonic acid	Threonic acid	13	A156001	101	37EC4174-F358-4860-9D99-98104BE33A70
49	yes	Organic Acids	M000571	Glutaric acid, 2-oxo- (1MEOX) (2TMS) MP	Glutaric acid, 2-oxo-	Glutaric acid, "\n" 2-oxo-	24	A158004	101	1CFD4B4B-DB79-44CC-A47E-7806308FDDA9
50	yes	Organic Acids	M000574	Benzoic acid, 3-hydroxy- (2TMS)	Benzoic acid, 3-hydroxy-	Benzoic acid, "\n" 3-hydroxy-	27	A158007	101	9926508B-C453-4081-B146-CCEC942C106E
8	yes	Amino Acids	M000029	Proline [+CO2] (2TMS)	Proline	Proline	7	A159001	101	D29C76EA-FE7C-45E9-AEAB-0BFE5D81663E
78	yes	MST	NA	A159003	A159003	A159003	7	A159003	101	4361A302-5783-46B0-8921-2EC08F235ACD
51	yes	Sugars	M000579	Xylose (1MEOX) (4TMS) MP	Xylose	Xylose	6	A165001	101	F71C5D3E-3D79-4658-842B-F3D61BDFD29D
93	yes	MST	NA	A165004	A165004	A165004	7	A165004	101	F634FD6E-BA32-4F6A-BCFC-1F3994A137D0
52	no	Sugars	M000581	Arabinose (1MEOX) (4TMS) MP	Arabinose	Arabinose	9	A167002	101	7DC55705-0FC3-4BC3-9EB7-1380D6E50BFE
53	no	Sugars	M000582	Ribose (1MEOX) (4TMS) MP	Ribose	Ribose	6	A168002	101	2FEA82F2-B180-4B7E-BE29-AF06A31C90C7
54	no	Sugar Alcohols	M000588	Arabitol (5TMS)	Arabitol	Arabitol	8	A171012	101	27BCCCEB-7C09-4CB7-A5AB-891E281CA4DA
36	yes	Sugar Alcohols	M000155	Ribitol (5TMS)	Ribitol	Ribitol	7	A173001	101	507D17F8-DDEC-4560-919B-B7D729ECE611
