"PGSC0003DMT400004539"	"PGSC0003DMT400006231"	"PGSC0003DMT400008092"	"PGSC0003DMT400008278"	"PGSC0003DMT400008547"	"PGSC0003DMT400013094"	"PGSC0003DMT400015224"	"PGSC0003DMT400017633"	"PGSC0003DMT400021019"	"PGSC0003DMT400021608"	"PGSC0003DMT400027201"	"PGSC0003DMT400027792"	"PGSC0003DMT400028434"	"PGSC0003DMT400030682"	"PGSC0003DMT400031370"	"PGSC0003DMT400031714"	"PGSC0003DMT400035714"	"PGSC0003DMT400036026"	"PGSC0003DMT400037483"	"PGSC0003DMT400041989"	"PGSC0003DMT400042362"	"PGSC0003DMT400045689"	"PGSC0003DMT400046308"	"PGSC0003DMT400046445"	"PGSC0003DMT400046899"	"PGSC0003DMT400048114"	"PGSC0003DMT400049097"	"PGSC0003DMT400049125"	"PGSC0003DMT400049172"	"PGSC0003DMT400052517"	"PGSC0003DMT400062379"	"PGSC0003DMT400066873"	"PGSC0003DMT400068776"	"PGSC0003DMT400068787"	"PGSC0003DMT400071445"	"PGSC0003DMT400071885"	"PGSC0003DMT400075512"	"PGSC0003DMT400080813"	"PGSC0003DMT400082012"	"PGSC0003DMT400082023"	"PGSC0003DMT400083025"	"PGSC0003DMT400083859"
"S1"	-0.628697909871771	-2.5423735880973	-0.536579720898637	-0.310333101907479	0.706324966398635	0.206384283589752	-1.1836340636185	0.145030457083489	-1.90968349368053	-0.733692054849442	0.950010253038607	-1.91616647566715	0.126248593594022	0.194524002790587	0.598314199834416	-1.54166860441139	-1.08121131686379	-1.54411296797619	0.072146278653309	-0.771320202247448	-0.612440784955938	-0.836641604096562	0.476944023092626	-0.568658079296581	-0.98564332414035	-0.601318027646149	-0.82393693415956	0.732750884567998	-1.15983282598133	-0.910265714256085	-1.00616243173479	0.16150372153621	-0.436595618138801	-0.711461290699652	-0.093135745615978	-0.240160300648245	0.051571480509667	-0.261629157879008	1.13625389899596	1.48158346882186	-0.287258249649848	0.143601768724069
"S2"	-0.44482336998029	-3.09091375752615	-0.549090828548427	-0.131634471761445	0.77013218736956	0.138636881005583	-0.65346274452506	-0.0894445158091463	-2.26899349856505	-0.561622105207927	1.08649032938276	-1.69079916529333	0.286795416031516	0.217760207125894	0.30444721291726	-1.46172647670288	-1.094388001834	-1.24646745255345	0.0505582135442622	-0.301366622456633	-0.509485817168896	-0.857859101280946	0.65059829360132	-0.33550673529488	-1.03781904710881	-0.622945226654633	-0.853829513758988	0.650984515085757	-0.818581911566693	-0.729004415756962	-1.09027984548317	0.231115402883527	-0.283216018868073	-0.542364614325311	-0.120864521606575	-0.186989974574107	0.0868163734320024	-0.314433732508415	0.998089860856071	1.49461355218417	-0.320400448052471	0.394894986444456
"S3"	0.802523767477994	-1.01189931087716	-0.596554077449769	-0.266786855309717	-0.0281715158567182	-1.94173551195385	-1.01415071421473	-0.565083197583074	-1.42451871769381	-0.961818154618526	-0.10825302045323	-1.46493741315163	-0.448452437093017	0.177850101845758	0.0733174358514399	-1.46111854662663	-1.98563050180159	-1.55947708740988	-0.208340075471581	-0.914691306737338	-0.987453568019275	-1.06652481595034	0.372677919159469	-1.34032243408657	-2.05150278854277	-1.3501230676554	-2.50836517588215	0.523796783162762	-1.1728317527391	0.336815312686031	-1.41393781437622	-0.0015053757508158	-0.705814419525989	-1.38589325792017	-0.712058082666055	-0.794726338015307	-0.454431193836899	-0.915258146219174	0.29842044188907	0.66841008792976	-0.742672833225082	-0.156276335661505
"S4"	0.804357642211579	-1.10535256788106	-0.676727697224953	-0.260592862118935	-0.146288160405374	-1.94502878010642	-1.23613565155727	-0.672317607788476	-2.09617383371933	-1.0293015538965	-0.0704728529074135	-1.54348426683024	-0.367227620572974	0.130001685064963	0.0862954410245056	-1.34984341078943	-1.93349391273256	-1.84223606748704	-0.190586229417307	-0.961888294607516	-1.00960004377028	-1.06398020939699	0.413047546727987	-1.29694070038144	-1.95953932898741	-1.75293431515334	-4.43504143653042	0.601165706468344	-1.05186616031148	0.225428193690445	-1.75992332856267	0.0449402412501827	-0.650588660641458	-1.48464554593775	-0.658310682090231	-0.68217573808648	-0.292686573046659	-1.07050082013307	0.330143885922126	0.634216391752283	-0.820341883436343	-0.0464289850937394
"S5"	1.14463908952518	-1.18347873214074	-0.670902917323853	-0.212463132807193	0.313325791609374	-1.22443175584086	-0.999173719355459	-0.560145553079195	-1.35616579327337	-0.992102223727316	0.633549158766894	-1.31068648255845	-0.334099119035156	0.239886212837193	0.234211496388932	-1.41172419030311	-1.90777466247802	-1.24973934757633	-0.285873511669794	-0.92679346513802	-0.691826609232469	-1.02418329139522	0.431712761094134	-1.22781924638206	-1.61236730507305	-1.20985708757079	-4.43085185156576	0.793529743782543	-1.05325134983653	0.452323682837256	-1.54004635376476	0.0325036385243195	-0.509667639286277	-1.21453659885338	-0.803531314873481	-0.841223280630568	-0.378396887017093	-0.797771406936446	0.555386419362746	0.846380978061278	-0.689191994710417	0.298023533839787
"S6"	1.26549849362183	-1.0020728639862	-0.622409318004851	-0.146371319941675	0.319380182139666	-1.21579663515773	-0.774506228464056	-0.531926022938168	-1.27807432272069	-0.906030447989589	0.559460333551566	-1.44503699745577	-0.249208886030409	0.381107887900544	0.339666894577458	-1.56900747130011	-1.84946387294043	-0.941826526833984	-0.192540892436651	-0.88940787265902	-0.473100547365487	-0.98441655165052	0.577953208245195	-1.16609929214357	-2.56107891471037	-1.26574985366821	-4.03925780953876	0.680579451276973	-0.909051585026073	0.377810405328041	-1.16912524565999	0.128587370887836	-0.807036733915489	-1.31109610912505	-0.418698105519096	-0.762797064722714	-0.31862730612051	-0.833802213919961	0.583373554347121	0.896705140783911	-0.852838447755763	0.559595496019619
"S7"	0.03847622415329	-1.23544900213716	-0.329254492799937	-0.265785328514144	-0.156734804344902	-0.345183495020497	-1.77442845890373	0.0408131200096296	-0.336977417338697	-1.08816465821864	1.06309713790471	-1.63410362745496	-0.494259569473214	0.130252142021355	0.39181770731378	-0.793471343963384	NA	-0.624020656314143	0.0206976936393715	-1.04362877551013	-0.62808365816562	-0.449600264466484	0.753323123956677	-0.436448866015916	-1.2727974926692	-1.01582745129058	-2.61491955932735	0.616135928152713	-0.936387140584833	0.519520351044358	-0.606621122564764	0.359239338093036	-0.660241187452424	-0.933076412692522	-0.0796991212445189	-0.392242912182656	-0.29920357142279	-0.424959153141413	0.866846050771499	1.41373025419421	-0.0928712907647875	0.0884008448141791
"S8"	0.358548850540482	-1.01250370385096	-0.301873030166839	-0.0234642345570234	0.173777843321913	-0.196547451163943	-1.38636670284585	0.160466898973643	-0.16690713470088	-0.859030183221579	1.38540340685973	-1.88134701338619	-0.208662403339439	0.41652903388534	0.522489786179086	-0.682520643204013	-1.25200286737122	-0.173457547406528	0.120159584614228	-0.7496211323275	-0.45998030551947	-0.507127623440363	0.902400176756879	-0.225792816272694	-1.30300336923661	-0.716245033618249	-4.16794798217012	0.693482650496115	-0.757960265267385	0.783729938046198	-0.196848180129611	0.752579956154881	-0.616623370973193	-0.794062792647366	0.226757617408796	-0.318700907954451	-0.150827015422497	-0.123078973512178	0.91185793716065	1.65498720711666	-0.0692942452168904	0.118704104585192
"S9"	0.997164268876903	-0.66235961078941	-0.512888584982382	-0.0102455559024234	0.370309941956076	-1.02256939433097	-1.36226970323795	-0.152662846851054	-1.49382613297301	-0.938395687973402	0.685334521088481	-1.52569497449398	0.083585794776035	0.18519997496239	0.221371739241374	-2.00551872578262	-0.904705614978672	-1.6822335825392	-0.30521160333375	-1.06545472957325	-0.863831762167417	-0.496442112199277	0.737304038509915	-0.669876329781139	-1.3963465997771	-0.666606842998233	-1.46760732344067	0.597687831670938	-1.24829583348962	0.239935657013981	-3.84038083775337	0.313110028359981	-0.624962052368082	-0.720024314698811	-0.0942542978223669	-0.209348300184559	-0.168081001168971	-0.289694109117263	0.744208161460468	1.31684036350231	-0.353832764113413	0.348163466205073
"S10"	1.0811207820926	-0.611650656474819	-0.480572864432857	-0.11747620323288	0.440097575335859	-0.851890955844411	-1.00389605215494	0.0528158632542434	-1.55754078722027	-0.894563763909755	0.783834395454694	-2.59568848382685	0.180413146486339	0.240069163817057	0.420278964541325	-1.94084980644911	-0.817139451084971	-1.53789918206319	-0.633812183725606	-0.958081695054847	-0.638608193616524	-0.436149867972722	0.823477336613679	-0.566241184718895	-1.00211696488057	-0.578941038175967	-1.15258169070328	0.741849139899448	-1.04629432086424	0.307262972239201	-1.12182846634625	0.261951937291859	-0.377739211734066	-0.722841804943229	-0.092502152732605	-0.2225016553301	-0.098287046159279	-0.00150349431334443	0.983004269425862	1.31385489852031	-0.321387901695747	0.346533840323546
