"0292159D-8EE5-4B0B-9756-17EF4F55263A"	"0474C672-D911-40E4-8AB7-15FA4D072A9C"	"05BC1ED4-187E-41DB-AFA6-C4529B8FCFA3"	"0929C255-892A-4196-B906-54A5D809FA72"	"0A2B3536-2245-4C0E-BDBC-495766EEEC67"	"0F3D1985-DBA7-4525-92F5-CEF822A2A08F"	"12D39077-7A6C-4BA8-9EBB-CFFF87CD9770"	"150F8364-E67C-4913-831F-832187652123"	"176F3289-5E77-4E1B-8695-FA71478F18F9"	"190602A3-5AC5-405A-9328-8BD78D23B174"	"19EBA91E-4D0E-493E-8297-3466769C0C1B"	"1CFD4B4B-DB79-44CC-A47E-7806308FDDA9"	"1E0DFE20-FCD1-43DF-8DE2-901E95A51523"	"249EA5FD-66E6-4293-838B-586365A336F4"	"30BFBC24-D16F-448F-AEAC-057AEF97B2A7"	"35D9ED81-80CB-474D-A365-D7590A3B0E0B"	"3771176A-F95B-494A-8172-E57260AC372C"	"37DD0B78-3C22-48DE-8471-4F2D8779D90B"	"37EC4174-F358-4860-9D99-98104BE33A70"	"38ABF99F-2098-4214-83E5-4FC5270C1C6F"	"3DD5CD2F-352D-4ACF-ACCC-B5B6D7BAC5C9"	"4361A302-5783-46B0-8921-2EC08F235ACD"	"4485ADB0-AF5F-4A51-BF60-702F4C975DE2"	"4CA0F2AD-18D5-4044-8350-504FFE609B2C"	"4F0FA9B6-514F-4FF4-98CC-0009BC08EB80"	"507D17F8-DDEC-4560-919B-B7D729ECE611"	"593E644B-68A3-4E67-BAB1-BDD99219E072"	"5BB480FD-2D3A-4B4B-AD0F-7F689F761079"	"5CB91881-3359-4FBB-A8E4-DD2F007F01BA"	"5DD39B17-CA54-4C20-BD84-FA7F88DA5B69"	"5F2EB568-4F1C-4241-810D-95C2A13093F7"	"607DBF7C-9714-402B-B03A-2CC96DC5CE02"	"6176BB6D-9D93-4714-B906-C7A54E0D3325"	"6689E110-85D0-445C-8056-108724435D89"	"6777816A-975B-4B53-B039-3CB26D469C47"	"696B8E8A-DD8D-440A-853E-5878B584288D"	"6BAB0D9B-7BA4-4E29-B05E-25893805AABC"	"790E11C9-30D1-40BE-A2BB-89B08A545722"	"7C14EC5E-9FB4-4512-A2B8-10BDB5EFF326"	"7DD0EB2E-EEB9-408E-B0FE-6A65BEC2014C"	"7E813079-D1AA-4977-8DE4-3440B2643EFB"	"87DAEC85-6F71-4239-8D48-5590DA42CE45"	"9506C21A-0F1C-4EF9-9CDA-2E5C46C1A5DC"	"9926508B-C453-4081-B146-CCEC942C106E"	"99470209-71EF-4FFB-95B8-E09125766973"	"996989CD-4161-4D87-948F-3E152AC4D4B0"	"A0782212-49CD-4567-B538-534176BB77D5"	"A3B49FA6-C8FD-43F1-A601-41F153B3442B"	"A6F751BB-BF57-4852-9368-825EFF3C501B"	"A7805FDF-1028-4275-A8F1-3620610199F6"	"AA690CF2-1EC3-4E0A-99CF-DD24992EEE9A"	"B263B4F2-2A41-48CB-89A2-0F10A4620160"	"B68ADC4A-A164-498B-8D60-3B2AD81E217C"	"BDBA1211-1AFE-4CF4-8ED6-509BFF3A2B57"	"C0B6329F-B055-480B-8DA0-D13DC42F7E27"	"C2090E0F-4228-4CF4-B69D-BFD38006E856"	"C3F371A7-0C27-4FE9-90D7-53F8E8BF963F"	"C5D8569F-D8E3-4CE4-AD30-AF4FEC5CF346"	"C926563F-1DD6-4EAF-B7FF-17CF3AB60D21"	"C98BE9BB-CEB5-4886-AA9D-1F8F274A2CEF"	"CA729C97-E303-49AA-A4B2-2E9DD5C0F6AE"	"CA995887-B9FE-45FE-A90A-E2C757D7F37B"	"D1B14E56-23F7-435E-93B9-320012FA4E54"	"D29C76EA-FE7C-45E9-AEAB-0BFE5D81663E"	"D38A9ED2-81AD-43C6-AEB2-9ABC15999412"	"DCA18BD3-9317-4C2E-B7B7-139A69121396"	"DCF0B901-619A-48CB-AF7C-3B05C682133D"	"DFFEA5C8-41AF-4927-A8C4-9E270F8F7106"	"E1C96184-EDCA-44C4-BB80-68492E5BF368"	"E449A211-33FC-45F4-B4F4-03CDE1D4F4BF"	"E8976AD5-04D7-4C42-8897-EFCB2CA0A171"	"EEFAE11A-42AD-497E-B6C6-61E00D1278D1"	"F1A1BFCF-BE56-43F7-B0BF-B1A64A618C86"	"F210498D-01E8-4BE7-9D7F-F216095079E8"	"F235FD23-09B9-41B0-9F2C-8BD1757EB884"	"F4B16D3F-4B7F-4011-8D1B-C0E7F15C6846"	"F634C736-39E8-4323-8155-FA3CC26AC9E3"	"F634FD6E-BA32-4F6A-BCFC-1F3994A137D0"	"F6A88D9F-29CE-44C8-A1C8-4EE014FD4701"	"F71C5D3E-3D79-4658-842B-F3D61BDFD29D"	"FD9FB30F-5F8D-486C-815C-90749331BB20"
"012A2E91-1CCF-424A-BBC8-63894CE24956"	4.49537780294407	4.62365237672711	3.07298474462793	3.60777660374169	5.62397457664	5.38071581581991	3.67678503041921	NA	4.16725824304363	4.74609683581747	5.56782243114165	2.97081161087252	5.51393505842363	4.61719960929127	1.96378782734556	4.26458172923808	5.69726858446406	5.21369303315582	5.51371954614483	4.27246821048795	4.03257847192431	4.97340035717861	3.94270236888867	4.43100975033369	4.53500280448629	4.63087516117485	3.88405864709394	4.69325195440517	4.54510910233637	3.39967372148104	5.26775352788671	5.58448500976531	5.6982806664982	4.62039634535128	4.32772665164214	2.63748972951251	4.31864756900365	5.66510422488931	4.74668867690719	4.34789569349323	5.0681116170273	4.68826850453415	5.66625301754959	3.72713442376049	4.45270622651103	5.5575541176119	4.76052049021565	3.90832413927618	4.92250747775183	5.7622530617918	4.61030875336083	4.19021960771105	3.07809415040641	5.10895044122029	3.23350376034113	4.50407648818243	4.7711831269394	3.8676442339031	5.19680878224914	3.75526489141225	4.41762113786389	4.06807448990765	3.66171805769466	3.75457765604473	4.20395709168124	4.21351775699631	3.09968064110925	4.2348208798074	4.58893245232319	5.15652795094423	5.02309600311082	4.41949313543935	4.94172504899992	5.14457732082055	5.10207679266288	5.70363781550154	5.12207819329338	4.02246961276777	4.56298242850811	4.52435717017934	5.52457914936672
"0135B9A4-9B18-4504-81DE-00C9F3D007CA"	4.59442570136066	4.45633566182361	3.36116099519503	3.80002935924413	5.60635663972093	4.78542237971151	3.64177147065396	3.16672605558005	3.92834463526486	4.33457437175493	5.42245030484953	3.06557971472845	5.23159700556491	4.5269721621429	NA	4.49899936358015	5.40247976476394	5.22876981383537	5.11766894056244	4.19953578119834	3.75097098443732	4.79599118250291	3.47450763911698	4.62256629085747	4.36099079857892	4.68462995559789	4.13551428099879	4.98752773327716	4.42766459406219	2.41664050733828	5.10779316111385	5.39568975511302	5.53891289390367	4.52663646060016	4.3437629752857	2.84010609445676	3.73663549768682	4.8139144200486	4.80585413091603	4.15418043211182	4.87602143964148	4.45397540129588	5.5188296756111	3.72164576628975	3.96326825152624	5.5089590878602	4.76435549410071	4.05319372760087	4.79251775669381	5.70117927732403	4.73885187836405	3.66773305253327	2.99782308074573	4.87496281215091	3.55509444857832	4.81553790296602	4.12814068312999	4.0686681432859	5.31232125084831	2.9566485792052	4.25076144797969	3.18752072083646	3.76245348236355	3.96614173273903	4.43732239741184	4.1084635412036	4.23044892137827	3.58365210854204	4.34670496243309	4.82864056549018	5.13693924434999	3.99149188891016	4.7142962221969	4.97746752463675	4.92711361193376	5.48383681980363	5.20958739092508	3.93881982502621	4.26948959442453	4.68384821184104	5.46192300945014
"017ED5CE-197B-4F97-B02C-353382FE9A0C"	4.81738024265789	4.63273053839858	3.71767050300226	4.3425411086233	5.61194836076194	5.13569861517122	4.17536683106135	NA	4.03570983782786	4.27987218180266	5.52569511343608	3.18440748541232	5.44462866993339	4.86039790512731	2.03742649794062	4.5159003242752	5.67470318675102	5.02317835567514	5.6758552984344	4.33332634040345	3.94880404593281	5.00030389978481	3.88817949391832	4.23489674573159	4.60146242549462	4.67582415091224	3.98290411779263	5.28082185299103	4.58913383572301	4.06703363984226	5.55632783387319	5.55144023843666	5.65840637724375	4.73519954842231	4.94374670939432	2.80140371001736	4.32878720035453	2.80208925788173	4.67632773388132	4.09293107567355	4.99068508657025	4.95071039970104	5.61975158108954	3.7555699806288	4.30741045421367	5.60769087221461	4.8850217948623	4.23365593968576	5.22870056493434	5.78072116942031	4.8646000667122	4.14072796284418	3.68349731767981	4.9835947173232	3.7501225267834	5.18476238817123	4.28445329401085	4.24983404159679	5.46478603029331	2.52244423350632	4.51730148863416	4.31708088607319	4.32312829312512	3.92962325151524	4.43665552216235	4.04972182215243	4.27376495850478	3.20978301484852	4.64397548911768	4.94113362096908	5.37220477879661	4.09180759700167	4.95716654428245	5.08511211326684	5.1029616733349	5.63992255692968	5.43315835211079	4.10727782285977	4.45209324901773	4.52070619077279	5.26171953021009
"0233C72C-4EBB-4125-A801-EA0ECDFCC46D"	4.76999730402854	4.76934778122889	3.87978378009042	4.53528145821149	5.80328568572573	5.25768577306061	3.81484666860446	3.18127177155946	4.08916299936493	4.44972517494905	5.48962384540135	4.21277337351991	5.48446925234327	5.13482392214684	2.01703333929878	4.54917498295176	5.70439077142951	5.32671058549395	5.24080376011202	4.64720686908555	3.93931953107824	5.14333961851074	4.04676821966084	5.37407530968553	4.61080916014446	4.88068214116437	4.16793731270058	5.10375242330266	4.54551740760149	4.10030160401385	5.52296559549199	5.55054508899452	5.6360453525566	4.61546606424852	4.8818922733849	4.03003270493617	3.82529626443096	5.58583507661318	4.77743407265403	4.3006389546354	5.03950136592426	5.06615441041551	5.58357960680245	3.58523506336578	4.64791084516605	5.33952497693783	5.22080867278725	4.19504128055666	5.28173086132763	5.76425760168222	4.99403985491717	4.09096307659573	3.96642334594369	5.1844018046102	3.71087861768517	4.96010911131471	4.50164796910681	4.23832215637555	5.47046047460044	2.94101424370557	4.58333482403455	3.22479195649268	4.3193559410669	3.67933703052079	4.48495434742098	4.71444712077335	4.14091637693907	3.8431704645199	4.51773677904411	5.06213806262902	5.21956357060703	4.07147696769892	5.39870889745952	5.17723339803418	5.01831345472914	5.75565308029478	5.37143362440811	4.1407907766253	4.45370047335977	4.93794896352353	5.79986001332742
"02951556-B930-4BEA-9B77-E3A2FA7B98D8"	4.76934778122889	4.93242302637674	3.63174807439657	3.69469292633148	4.98118413739835	5.31876223696637	3.54924855685406	3.30749603791321	3.85751341477669	4.39525648088602	5.5761777389762	3.59228781595213	5.40815513388626	4.5750954320149	NA	4.2496874278053	5.63655408862015	5.36235427864158	5.2827489618055	4.32457051721884	3.96018527660461	4.72599325892472	3.83683028648888	4.68423476681263	4.50317760941806	4.72733788803308	3.34103863167752	5.01761340302503	4.56952606161867	4.29464255360287	5.29674633871926	5.57545573122603	5.67581040864814	4.55333678237689	4.71623713157241	2.92116605063774	4.20975622225886	5.85430907881481	4.8516557603728	5.21055393299422	4.63794979786421	4.54201581487059	5.63743168627923	3.73495976127245	4.28938825677578	5.48847174668808	4.57261605969125	3.76499759928488	5.0380316977273	5.85991069025534	4.73129860145989	3.88354787926804	3.09898963940118	5.13077427349152	3.35372393758895	4.92117125797441	4.68489919646653	4.17791147609401	5.47776642639056	2.42975228000241	4.404970480747	4.38050067489919	3.37912414607039	3.27943878828702	4.42659258230516	4.33043406700971	2.91907809237607	3.39058187855044	4.50697830424642	4.95697477738664	4.90865119854925	4.23149507644823	5.06989369387313	4.78805518519268	4.97179057230623	5.55560465648521	5.01251665612528	3.94225615041946	4.47485703131756	4.38412034177388	5.3477358178129
"03C9E1CA-CADB-4E4C-9933-B639C05802AE"	4.72561764933191	4.89761059878178	3.18184358794477	4.1545152657924	5.63893031604301	4.33929240276877	NA	NA	3.62634036737504	4.39375064034808	5.52891798517067	3.40157284567645	5.55395944604393	4.72814267171869	1.97772360528885	4.53488875822881	5.67515669093863	5.02801786610248	5.39380851903518	4.29258831246556	3.87863667302652	4.45904551679461	3.72378393696533	4.19038773255291	4.47500252848194	4.86793865089078	3.51574141666937	5.15593391952845	4.42533854827963	3.75762374590839	5.40913985410843	5.55000564357904	5.59359616662799	4.45745798798203	4.64007378406539	2.66181268553726	4.22824632625525	5.59688506381531	4.82480246735456	4.30882043310996	4.99257560752884	4.61169145149803	5.62760240071291	3.97382032435268	3.94314812935856	5.03410682970764	5.04695146052276	4.12959322836793	4.97439654107766	5.79698207330393	4.65203349423032	3.652826302561	3.04139268515822	5.02762681529322	3.60455003257126	4.76628640736955	3.96369340523802	4.44675457054465	5.25847684664234	2.66838591669	4.18170070441596	4.45581902440273	4.17163870853082	2.81023251799508	3.94704140525522	4.52061452187824	4.99220435142327	3.5999921775841	4.41215803200911	4.6985615755314	5.27628943088981	4.08213883139345	5.23351390728993	4.4750461681278	4.72805332491978	5.3776030875243	5.34074147498998	4.17478641736734	4.39687903522156	4.88796594607804	5.28468785029514
"05957BD2-9E2E-4092-9FE8-D5B0C1AF1647"	4.73553502816605	4.75813946308218	4.11823164832703	3.66978161520854	5.77865329404174	5.35513531068691	3.33545790068938	NA	3.74468406327689	4.56648463150716	5.54596610046591	3.90265547521793	5.47726454825656	4.92382924796707	1.96848294855394	4.36681504616385	5.66337767495229	4.99201860428968	5.4492901384004	4.4295908022233	3.97377419397058	5.04273691556983	3.68788552484871	4.52553716039106	4.41727235362732	4.72265859765566	4.50613958426614	5.15936262965691	4.54520812068653	4.3999158899163	5.29697873417678	5.53235046291806	5.66592978730271	4.69951687092957	4.67731489186086	2.99869515831166	4.31910605930978	3.7044936970093	4.90519122383873	5.05051122355935	5.06398599917969	5.04473569745051	5.67155603803649	3.83765155784639	4.3730591964919	5.58888544942355	4.85595504845973	3.78795612328393	4.96264393891207	5.8374217583716	4.6793461179855	4.13084818310286	3.64591327503384	5.47791962229324	3.80665472399186	5.05844880154233	4.81642691292457	4.29428982710072	5.42792569896954	5.24073640384762	4.3497242226344	4.15585202495927	3.45392959205773	4.05888133934956	4.30429660301836	4.5843425339724	2.92634244662566	3.6353832040475	4.58069693971244	5.01650267484439	5.04474745086337	4.41331653188427	5.35459050740662	5.01578294435807	5.10731174549067	5.62207096208265	5.08659115546111	4.36127442256221	4.50264557797792	4.85288238351032	5.6079319490119
"05A9E34C-EEAF-4299-8A8F-15ABEF03BCD7"	2.9903388547876	4.69521015758051	3.1300119496719	3.98122948742	5.11803643823059	4.9425586374396	NA	2.931457870689	4.18258582545729	4.22112722174244	5.53909492618013	2.72015930340596	5.30958120009149	4.19209331745203	NA	4.0643831044122	5.68884945416603	4.44524603508062	4.83403265389124	3.994361151908	3.91030416806857	4.29272113777454	3.39181692361325	4.12596896309256	4.23317385538094	4.32882793901428	3.22556771343947	4.86955438627521	4.48634545366764	3.07881918309885	5.30818010103067	5.53681338948498	5.46662001675226	4.54685100178139	4.29681870158049	2.40483371661994	3.74091507648128	2.18752072083646	4.39927557995072	4.28345953637699	4.85391104906635	4.33531745944485	5.6429272572724	3.73110505121592	4.00121432528618	5.03058757935962	4.86930800800673	4.15369294000855	4.93659918553387	5.8069034214216	4.15277741479724	3.53630587235103	2.4983105537896	4.5202738679093	2.69897000433602	3.23146959043068	3.83840827849419	4.06363354523078	5.09207468646473	2.02938377768521	3.95133751879592	3.73782850589578	3.93751789201735	2.9106244048892	3.84763434431826	4.05963913832372	4.34390071224961	4.14413813766359	4.43416955275833	4.82623034301714	5.27843118908547	4.088738365274	4.80411216024002	4.4205827933311	4.46946854785075	5.19376721259599	5.32135605261696	3.72924580722531	4.43432933733773	4.2879807835225	5.12036660481448
"0A9D9C39-D7F6-4E16-925A-7471FD10041A"	4.80273268765408	5.14861190814108	3.07261747654524	4.78682947459696	5.52207107557524	4.86121768456182	NA	3.21958452621425	4.06881642992222	4.29767298701945	5.52208673899729	3.56843641441689	5.45812848177152	4.52353837170365	NA	4.23550319649434	5.66450188829451	5.17059317857852	5.36350292256424	4.05903300496378	3.88935773688893	4.5269076243035	3.65137494391304	4.30254737248749	4.41770414045993	4.57904008840009	3.48685535527694	5.10912951013528	4.47868190736224	4.14110470932793	5.28179215089687	5.52786051830109	5.63535605350907	4.73772524145705	4.36700163083844	2.8998205024271	4.00363283700441	5.57661658493815	4.39607723911295	4.62260771535978	4.99754801322913	4.439821986424	5.61379955271628	3.58297192910481	4.07561994592878	5.37749930888605	4.59495577326341	4.14733617403674	4.88166420448974	5.78525792128222	4.7238659644435	3.69363902616155	3.05076631123304	4.86196431084323	3.67430988894148	4.89402791465209	3.8059084550742	4.37606572158617	5.08250891312771	2.66086547800387	4.24843920814151	4.39679195514148	4.17831493483216	3.4345689040342	3.90113125135537	4.48273070007994	4.67342642808709	3.3142886609475	4.4896632274955	4.75287013919886	5.24104815067164	3.95975667299099	5.03627349070634	4.58249516886351	4.76316584020066	5.346084881161	5.31203341433904	3.83238116024704	4.40115919902379	4.53667205126689	5.51612534389872
"0AB0D6F0-E88F-4BA8-A5F2-38828D6A61CE"	4.54846312522702	4.50270017531056	3.37785241900675	3.76574304142104	5.62630443135671	5.2079950078168	3.00774777800074	3.12221587827283	3.85296769102882	4.34196840817994	5.52630566996892	3.06632592536204	5.35365276747153	4.45762457291306	NA	4.53429269626693	5.62056076845383	5.29978831156948	5.29229373812193	4.16527401031123	3.88451215919039	4.97440114773031	3.7967130632809	4.74081254343687	4.41262852054438	4.77897562698925	4.15890502118754	4.8722437057886	4.55760343378771	3.05728564441821	5.19382836439012	5.58853388551832	5.65576156525669	4.4886494085772	4.41896383070362	2.68124123737559	3.88772979728803	4.91689591433254	4.94883336275259	4.33965015761368	5.06450291391864	4.6009184694091	5.57919232523397	3.64679568877847	4.34411706783031	5.54680661455547	4.85199785442207	3.64167237322469	4.82064800781738	5.78932118598437	4.79251075392069	3.68187412212865	3.11693964655076	4.92738062992669	3.1044871113124	4.72446429613542	4.68215410527128	3.97432743542362	5.37893906889094	2.80002935924413	4.30545885477867	2.65801139665711	3.56584781867352	3.63407402548747	4.56875304534647	3.88649072517248	2.70757017609794	3.64345267648619	4.5653282428542	4.94643261323444	4.90810954039255	4.15579135235762	4.82179510622458	5.07854381324243	5.00200614280613	5.53884633892263	4.96990957175409	4.07784010273499	4.39571070903514	4.70540181512926	5.52305416481867
